"","busfin","count","music","count","webdev","count","graphdev","count"
"1","trading",309,"-",388,"to",240,"design",337
"2","to",283,"guitar",337,"for",215,"photoshop",318
"3","for",212,"piano",292,"learn",215,"to",262
"4","-",184,"to",272,"web",213,"in",261
"5","the",183,"the",270,"with",207,"adobe",208
"6","forex",172,"play",259,"a",206,"-",194
"7","financial",154,"learn",217,"and",206,"illustrator",188
"8","and",146,"for",161,"-",188,"for",142
"9","a",132,"lessons",118,"the",146,"learn",141
"10","options",112,"a",109,"build",142,"a",137
"11","accounting",110,"harmonica",108,"javascript",136,"logo",126
"12","how",109,"with",93,"wordpress",131,"with",118
"13","in",107,"and",92,"beginners",130,"create",110
"14","of",105,"beginner",86,"from",127,"how",108
"15","learn",94,"instant",86,"website",122,"cc",104
"16","trade",85,"blues",85,"complete",110,"and",101
"17","&",78,"beginners",84,"development",107,"the",84
"18","analysis",75,"in",84,"in",107,"graphic",79
"19","stock",70,"&",72,"&",106,"from",77
"20","your",69,"course",68,"html",106,"de",70
"21","with",68,"how",66,"php",97,"&",68
"22","market",58,"on",62,"create",96,"beginners",61
"23","complete",57,"aprende",61,"course",90,"your",60
"24","course",55,"master",60,"css",88,"drawing",52
"25","introduction",49,"easy",59,"scratch",79,"guide",51
"26","business",48,"tocar",52,"how",75,"draw",49
"27","guide",48,"1",49,"bootstrap",65,"professional",49
"28","investing",48,"de",49,"using",65,"make",43
"29","stocks",48,"by",47,"html5",60,"course",42
"30","basics",44,"pro",45,"jquery",58,"an",38
"31","beginners",44,"your",44,"angular",57,":",37
"32","finance",41,"of",43,"by",57,"digital",37
"33","/",39,"music",42,"your",57,"mastering",35
"34","cfa",39,"2",41,"building",49,"para",35
"35","level",37,"chords",41,"websites",49,"indesign",34
"36","management",34,"",39,"developer",47,"photoshop:",34
"37","technical",34,"playing",37,"guide",47,"art",31
"38","de",32,"level",35,"on",46,"canva",31
"39","strategy",31,"now!",34,"beginner",45,"flat",31
"40","bitcoin",30,"drum",32,"projects",44,"business",30
"41","from",30,"guitarra",32,"2",42,"app",28
"42","bookkeeping",29,"el",31,"introduction",38,"graphics",28
"43","",27,"fun",31,"responsive",38,"master",28
"44","excel",27,"ear",29,"4",37,"",27
"45","i",26,"advanced",28,"an",34,"scratch",27
"46","advanced",25,"la",28,":",33,"creating",26
"47","build",25,"rock",28,"apps",33,"design:",26
"48","investment",25,"from",26,"programming",33,"of",26
"49","statements",25,"made",26,"css3",32,"beginner",25
"50","you",25,"rhythm",26,"coding",30,"complete",25
